Country,RD_PER_MILLION
Tuvalu,0
Tanzania,53.5337104797363
Uganda,38.0911712646484
Ukraine,11740.3872070313
Upper middle income,20437.4703742334
Uruguay,4792.82618713379
United States,62603.4519042969
Uzbekistan,533.730712890625
St. Vincent and the Grenadines,0
"Venezuela, RB",2024.13461303711
British Virgin Islands,0
Virgin Islands (U.S.),0
Vietnam,113.870681762695
Vanuatu,0
World,0
Samoa,0
Kosovo,0
"Yemen, Rep.",0
South Africa,4237.62736511231
Zambia,243.00963973999
Zimbabwe,89.6091232299805
